Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
BADALONA,3,5,1119,523,2.23911384359246,41.4402001890141,80155.0,70152.2249755859,0.4673815907059875,15951.026505423457
BADALONA,3,6,972,620,2.24280051563253,41.4429104087112,80155.0,51981.8098144531,0.6378600823045267,18698.848760162706
BADALONA,3,7,1012,663,2.2442611671461,41.4445201432757,80155.0,48534.1599121094,0.6551383399209486,20851.29323001846
BADALONA,3,8,529,315,2.24003348193073,41.4441437090104,80155.0,70962.5177001953,0.5954631379962193,7454.639676609785
BADALONA,3,9,1425,850,2.24256893808663,41.4460872978679,80155.0,76464.1494140625,0.5964912280701754,18636.18455079458
BADALONA,3,10,697,311,2.2304653875643,41.4392180386652,80155.0,26280.7586669922,0.44619799139167865,26521.304382107126
BADALONA,3,11,953,528,2.23811604533744,41.4429681060512,80155.0,47956.9711914062,0.5540398740818469,19871.980576012185
BADALONA,3,13,1122,717,2.24426169348042,41.4405537802338,80155.0,219849.758300781,0.6390374331550802,5103.485255894476
BADALONA,4,1,1544,694,2.2334932712359,41.45727927489,80155.0,399240.932739258,0.4494818652849741,3867.3389259121327
BADALONA,4,2,1213,616,2.24503490137569,41.4561477790718,80155.0,137059.452758789,0.5078318219291014,8850.173961622037
BADALONA,4,3,1189,598,2.2471956730942,41.4604563293756,80155.0,64063.0904541016,0.5029436501261564,18559.828936942504
BADALONA,4,4,1840,922,2.23948337467625,41.4624023877988,80155.0,99286.9302978516,0.5010869565217392,18532.147126315318
BADALONA,4,5,1472,648,2.24230076181776,41.459345187676,80155.0,57415.529296875,0.44021739130434784,25637.663155360264
BADALONA,4,6,1889,805,2.24214634055996,41.4641134336906,80155.0,176333.595581055,0.4261514028586554,10712.64947428402
BADALONA,4,7,1137,617,2.2461871344275,41.463701620281,80155.0,266789.956298828,0.5426561125769569,4261.779625341146
BADALONA,4,8,1126,521,2.24205363112221,41.4570664369657,80155.0,28204.1481933594,0.4626998223801066,39923.20534839318
BADALONA,4,9,715,377,2.24742062115615,41.4585120795599,80155.0,30027.9927978516,0.5272727272727272,23811.115342053625
BADALONA,4,10,890,338,2.24122711482584,41.4603773216984,80155.0,20952.9272460938,0.3797752808988764,42476.165241585535
BADALONA,4,11,1135,520,2.2499867471705,41.458743592592,80155.0,79720.2775878906,0.4581497797356828,14237.281082578731
BADALONA,4,12,1072,468,2.24438074054963,41.4585299025346,80155.0,71657.4060058594,0.43656716417910446,14960.072653374347
BADALONA,4,13,896,472,2.24925121099305,41.4617632192118,80155.0,49094.3565673828,0.5267857142857143,18250.570180509963
BADALONA,4,14,1946,1147,2.23979837057333,41.4552190181374,80155.0,245338.089355469,0.5894141829393628,7931.911449674866
BADALONA,4,15,1063,485,2.2358632543937,41.4603011099469,80155.0,162058.610351562,0.45625587958607716,6559.35527087379
BADALONA,4,16,1497,818,2.23800930804847,41.4611021166163,80155.0,80285.6612548828,0.5464261857047428,18645.919789431337
BADALONA,5,1,1741,1108,2.2555286336184,41.4526298554804,80155.0,123684.172241211,0.6364158529580701,14076.174569893
BADALONA,5,2,651,422,2.25342623542369,41.4537489335662,80155.0,26740.2169189453,0.6482334869431644,24345.35224502124
BADALONA,5,3,2292,1448,2.25201376195008,41.4560379310695,80155.0,256530.582519531,0.631762652705061,8934.60724054411
BADALONA,5,4,1450,770,2.25824250896976,41.4553519031675,80155.0,126161.456787109,0.5310344827586206,11493.209074517908
